album_name,artist_name,release_date,total_tracks
DELLALI (feat. Hamza),ElGrandeToto & Hamza,2023-11-08,1
WELD LAADOUL,ElGrandeToto,2023-10-26,1
ماما,Inkonnu,2023-10-05,1
ZIGZAG,Bo9al,2023-09-30,1
Hyati,Duke,2023-09-23,1
Sbabi,Inez,2023-09-08,1
IL0V3Y0U,Faouzia,2023-09-08,4
DAMIRI,Lbenj,2023-09-03,1
BÉNÉF,SCOOL BOY & Hassa1,2023-08-31,1
À toi,RYM,2023-08-31,1
I HATE SUMMER,Vargas,2023-08-18,5
Maghribia,Houssainy,2023-08-08,1
Lost Chapter - A COLORS SHOW,Madd,2023-08-10,1
UTOPIA,Travis Scott,2023-07-28,19
Rapapap,Moha K & kouz1,2023-07-28,1
Chouka,Tiiwtiiw & Morad,2023-07-26,1
3DABI,Draganov,2023-07-20,1
MORAK,Manal,2023-07-07,1
Casanova,Soolking & Gazo,2023-07-06,1
Before Iceberg,Stormy,2023-06-09,1
